Number,Arabic,English
1,مِنْ,From
2,فِي,in
3,مَا,What
4,اللَّهِ,Allah
5,لَا,no
6,الَّذِينَ,Whose
7,اللَّهُ,Allah
8,مِنَ,From
9,عَلَى,On
10,إِلَّا,Except
11,وَلَا,Nor
12,وَمَا,gesticulate
13,إِنَّ,that
14,اللَّهَ,Allah
15,أَنْ,that
16,قَالَ,He said
17,إِلَى,to me
18,مَنْ,From
19,يَا,Hey
20,إِنْ,that
21,ثُمَّ,then
22,بِهِ,with it
23,لَهُمْ,for them
24,كَانَ,It was
25,بِمَا,What
26,لَكُمْ,to you
27,ذَلِكَ,that
28,لَهُ,for him
29,الَّذِي,that
30,هُوَ,he is
31,أَوْ,or
32,قُلْ,Say
33,آمَنُوا,They believed
34,قَالُوا,They said
35,فِيهَا,In which
36,وَاللَّهُ,I swear
37,وَمَنْ,And from
38,كَانُوا,they were
39,الْأَرْضِ,Earth
40,إِذَا,if
41,هَذَا,this
42,كَفَرُوا,Express
43,كُنْتُمْ,You were
44,عَلَيْهِمْ,on them
45,هُمْ,they
46,شَيْءٍ,something
47,السَّمَاوَاتِ,The heavens
48,وَهُوَ,and he
49,وَإِنْ,and that
50,وَالَّذِينَ,And those who
51,لَمْ,did not
52,إِنَّا,I
53,فَلَا,No
54,إِذْ,so
55,عَنْ,About
56,أَيُّهَا,Oh
57,إِنَّهُ,it's a
58,عَلَيْكُمْ,on you
59,عَلَيْهِ,on him
60,مِنْهُمْ,who are they
61,حَتَّى,until
62,بِاللَّهِ,By God
63,وَهُمْ,delusion
64,الرَّحْمَنِ,merciful
65,أُولَئِكَ,Those
66,يَوْمَ,day
67,إِنِّي,that I
68,وَإِذَا,If
69,مُوسَى,Musa
70,فِيهِ,in it
71,وَلَقَدْ,And it was
72,كُلِّ,All
73,قَدْ,may be
74,الرَّحِيمِ,The Most Merciful
75,لِلَّهِ,Allah
76,رَبِّكَ,Your Lord
77,بِسْمِ,In the name
78,الدُّنْيَا,World
79,إِنَّمَا,But
80,بَلْ,but
81,مِمَّا,Than
82,أَمْ,Mother
83,وَلَوْ,If not
84,وَالْأَرْضِ,And the earth
85,يَشَاءُ,He wants
86,مِنْكُمْ,From you
87,رَبِّ,Allah
88,فَلَمَّا,When
89,عَلِيمٌ,Knowing
90,أَنَّ,that
91,عِنْدَ,when
92,النَّاسِ,People
93,رَبِّي,my Lord
94,فَإِنْ,So
95,مِنْهُ,from him
96,يُؤْمِنُونَ,They believe
97,فَمَا,So
98,مِنْهَا,Of which
99,فَإِذَا,So
100,وَقَالَ,And he said
101,وَكَانَ,It was
102,دُونِ,Without
103,لَنَا,Our
104,كَذَلِكَ,like that
105,تَعْمَلُونَ,Do you work
106,بَعْدِ,distance
107,يَعْلَمُونَ,They know
108,السَّمَاءِ,The sky
109,وَإِنَّ,and that
110,رَبِّهِمْ,Their Lord
111,هُمُ,they
112,لِلَّذِينَ,For those who
113,بِهَا,With it
114,أَلَمْ,Pain
115,الْكِتَابَ,the book
116,خَيْرٌ,Good
117,أَنْتُمْ,you
118,الْمُؤْمِنِينَ,The believers
119,عَذَابٌ,torment
120,شَيْئًا,Something
121,الْكِتَابِ,the book
122,لَوْ,if
123,إِلَيْهِ,mechanism
124,إِلَيْكَ,To you
125,بِالْحَقِّ,In truth
126,رَبَّنَا,Our Lord
127,سَبِيلِ,Sabil
128,فَإِنَّ,So
129,قَبْلُ,Before
130,النَّارِ,fire
131,بَيْنَ,between
132,الْقِيَامَةِ,The resurrection
133,عَنِ,About
134,وَإِذْ,And then
135,لَكَ,for you
136,فَمَنْ,Who is
137,عَنْهُمْ,About them
138,هَلْ,Do you
139,نَحْنُ,we
140,الظَّالِمِينَ,The unjust
141,وَمِنْ,And from
142,يَوْمَئِذٍ,Then
143,كُنَّا,We were
144,إِنَّهُمْ,that they
145,كَيْفَ,How
146,يَعْلَمُ,Know
147,الْعَالَمِينَ,The worlds
148,وَقَالُوا,They said
149,كَمَا,as such
150,لَعَلَّكُمْ,Perhaps you
151,الصَّالِحَاتِ,Righteous
152,لَنْ,will not
153,رَحِيمٌ,Merciful
154,لِي,Mine
155,خَلَقَ,Create
156,مَعَ,with
157,قَوْمِ,people
158,وَلَكِنْ,But
159,الَّتِي,that
160,بِآيَاتِنَا,Our verses
161,جَاءَ,came
162,شَاءَ,He wanted
163,يَعْمَلُونَ,Working
164,عَلَيْكَ,upon you
165,تَعْلَمُونَ,Learn
166,أَعْلَمُ,Know
167,أَنْتَ,you
168,قَلِيلًا,Little
169,رَبَّكَ,Your Lord
170,الْآخِرَةِ,hereafter
171,لِمَنْ,Whose
172,أَلَا,Except
173,بَيْنَهُمْ,between them
174,بَعْدَ,distance
175,جَهَنَّمَ,hell
176,وَعَمِلُوا,And work
177,وَلَكِنَّ,But
178,الْكَافِرِينَ,The disbelievers
179,لَقَدْ,lhave
180,عَلَيْنَا,We
181,يَقُولُونَ,They say
182,لِلنَّاسِ,For people
183,لِقَوْمٍ,For people
184,غَفُورٌ,forgiving
185,فَقَدْ,Lost
186,جَمِيعًا,All
187,إِنَّكَ,You
188,أَنَا,I
189,كُلَّ,All
190,تَجْرِي,take place
191,الْحَقُّ,The truth
192,النَّاسَ,People
193,فِرْعَوْنَ,pharaoh
194,لَهُمُ,for them
195,أَرْسَلْنَا,Send us
196,الصَّلَاةَ,Prayer
197,أُنْزِلَ,get down
198,كُلُّ,All
199,هِيَ,she
200,عَمَّا,Among
201,أَنْزَلَ,get down
202,إِبْرَاهِيمَ,lbrahim
203,لَيْسَ,Not
204,وَلَمْ,And not
205,كَثِيرًا,Much
206,هَذِهِ,this is
207,رَبِّكُمْ,Your Lord
208,فَأُولَئِكَ,Those
209,الْعَزِيزُ,dear
210,عَلَيْهَا,on her
211,الْأَرْضَ,Earth
212,أَفَلَا,Ala
213,مُبِينٌ,Showed
214,أَلَّا,Except
215,جَعَلَ,make
216,رَبِّهِ,His Lord
217,وَيَوْمَ,Today
218,لَكُمُ,to you
219,رَبُّكَ,Your Lord
220,وَقَدْ,And it was
221,خَالِدِينَ,Creators
222,وَأَنَّ,and that
223,النَّاسُ,People
224,وَأَنْتُمْ,And you are
225,بَنِي,brouwn
226,يَهْدِي,Guide
227,وَلَهُمْ,And to them
228,هَؤُلَاءِ,these
229,أَصْحَابُ,friends
230,إِسْرَائِيلَ,Israel
231,أَنَّهُمْ,that they
232,بِغَيْرِ,Without
233,لَهَا,to her
234,لَعَلَّهُمْ,Perhaps they
235,وَالْأَرْضَ,And the earth
236,فَهُمْ,Understanding
237,الْأَنْهَارُ,The rivers
238,قَوْمًا,People
239,وَعَلَى,and on
240,ظَلَمُوا,They wronged
241,غَيْرَ,not
242,يُحِبُّ,Likes
243,مُبِينٍ,Showed
244,وَمِنَ,And from
245,أَلِيمٌ,Em
246,وَاتَّقُوا,Fear
247,لَوْلَا,No
248,وَكَذَلِكَ,Likewise
249,يُرِيدُ,Wants
250,الْيَوْمَ,today
251,عَذَابًا,Intriguance
252,دُونِهِ,Without him
253,قُلُوبِهِمْ,Their hearts
254,قَدِيرٌ,Forty
255,جَنَّاتٍ,Paradises
256,الْحَقِّ,The truth
257,بَعْضٍ,some
258,الْحَيَاةِ,life
259,خَيْرًا,Good
260,إِلَهَ,Machine
261,عَذَابَ,torment
262,كَذَّبُوا,They lied
263,إِلَيْهِمْ,To them
264,عَنْهُ,about him
265,وَجَعَلْنَا,And make us
266,أَنْفُسَهُمْ,themselves
267,بِهِمْ,With them
268,صَالِحًا,Good
269,قَبْلِهِمْ,Before them
270,يَقُولُ,Says
271,تَحْتِهَا,Under it
272,لِمَا,when
273,الْعَذَابِ,The torment
274,وَكَانُوا,And they were
275,كُنْتَ,I was
276,حَكِيمٌ,wise
277,أَوَلَمْ,More
278,فَبِأَيِّ,What?
279,قِيلَ,It was said
280,الشَّيْطَانُ,evil
281,ذَلِكُمْ,That is
282,بِآيَاتِ,Verses
283,مَعَهُ,With him
284,بِكُلِّ,All
285,الْحَكِيمُ,the wise
286,وَفِي,Fif
287,وَإِنَّا,And I
288,مُؤْمِنِينَ,Believers
289,مِنَّا,from U.S
290,كَلَّا,both
291,أُوتُوا,They are
292,رَبُّكُمْ,Your Lord
293,لَمَّا,when
294,آلَاءِ,Alaa
295,يَوْمِ,day
296,عَظِيمٌ,great
297,آمَنَّا,We believe
298,صَادِقِينَ,Sincerely
299,نَفْسٍ,same
300,إِنَّكُمْ,You are
301,عَلَيْهِمُ,on them
302,وَلَمَّا,And when
303,تَرَ,See
304,الْقَوْمِ,The people
305,الْأَوَّلِينَ,The first two
306,رَبِّكُمَا,Your Lord
307,تُكَذِّبَانِ,You lie
308,الْمُحْسِنِينَ,The best
309,جَاءَهُمْ,They came to them
310,فَإِنَّمَا,"So, but"
311,وَلَئِنْ,And now
312,اللَّيْلِ,the night
313,قُلِ,Say
314,حَيْثُ,Where
315,جَعَلْنَا,We made us
316,لَآيَاتٍ,Verses
317,لَفِي,Fif
318,بِكُمْ,with you
319,سَبِيلًا,Path
320,بَيْنَهُمَا,Among them
321,عِلْمٍ,Science
322,وَجَعَلَ,And make
323,قَبْلِكَ,before you
324,وَأَمَّا,Or
325,الْعَلِيمُ,The knowledge
326,الرَّحِيمُ,The Most Merciful
327,مَرْيَمَ,Mariam
328,أَبَدًا,Start
329,تِلْكَ,That
330,الْآيَاتِ,Verses
331,الْعَذَابَ,The torment
332,فَهُوَ,It is
333,يَوْمٍ,day
334,وَيَقُولُونَ,And they say
335,وَرَسُولَهُ,And his Messenger
336,الدِّينِ,Religion
337,هُدًى,Guidance
338,مَاءً,Water
339,فَقَالَ,He said
340,آيَاتِهِ,His verses
341,الْجَنَّةِ,the Paradise
342,كَانَتْ,she was
343,بَصِيرٌ,Sight
344,أَنْفُسِهِمْ,themselves
345,وَلِلَّهِ,And God
346,لَمِنَ,Whose
347,يَكُنْ,It is
348,وَإِلَى,And to
349,أَوْلِيَاءَ,Ayat
350,ضَلَالٍ,error
351,الْإِنْسَانُ,The human
352,قَوْمِهِ,His people
353,الْإِنْسَانَ,The human
354,الْحَمْدُ,Praise
355,آمَنَ,security
356,مَعَكُمْ,With you
357,فَضْلِهِ,Fadah
358,إِذًا,if
359,الْقَوْمَ,The people
360,إِلَيْكُمْ,To you
361,عَاقِبَةُ,consequence
362,فَسَوْفَ,Fawaf
363,قَوْمٌ,people
364,وَأُولَئِكَ,And those
365,وَمِنْهُمْ,And from them
366,أَيْدِيهِمْ,They are their hands
367,أَنْزَلْنَا,We sent down
368,ذُو,That
369,قَبْلِ,Before
370,أَكْثَرَ,More
371,اللَّيْلَ,the night
372,إِلَيَّ,to me
373,أُمَّةٍ,his mom
374,لِكُلِّ,for every
375,لَئِنْ,Now
376,خَالِدُونَ,Creators
377,عَنْهَا,about her
378,الْحَقَّ,The truth
379,الزَّكَاةَ,Zakat
380,تَعْقِلُونَ,You are reasonable
381,بِأَنَّهُمْ,They are
382,بِالْبَيِّنَاتِ,With evidence
383,الْمُشْرِكِينَ,The participants
384,فِيمَا,Payma
385,وَإِنَّهُ,And it is
386,الظَّالِمُونَ,The unjust
387,وَلَوْلَا,And if not
388,الْمُرْسَلِينَ,The messengers
389,وَرَسُولِهِ,And his Messenger
390,قَالَتْ,She said
391,يَرَوْا,They see
392,الْآخِرِ,The last
393,لِلْكَافِرِينَ,For disbelievers
394,أَنَّهُ,it's a
395,الْأَرْضُ,Earth
396,بَعْضُهُمْ,Some of them
397,بِإِذْنِ,With permission
398,أَهْلِ,Ahl
399,الْمَصِيرُ,The fate
400,أَجْمَعِينَ,All
401,وَأَنْ,and that
402,الْمُتَّقِينَ,The righteous
403,بَيْنَكُمْ,Among you
404,عَزِيزٌ,Dear
405,يَدْعُونَ,They call
406,خَبِيرٌ,expert
407,آيَةً,any
408,وَلَهُ,And to him
409,قَوْمٍ,people
410,نُوحٍ,Noah
411,فَهَلْ,Is it?
412,رَبُّ,Allah
413,وَلَنْ,And why
414,فَأَمَّا,As for
415,مَاذَا,what
416,عَنْكُمْ,About you
417,فَلَنْ,Let's not
418,بَلَى,indeed
419,الْعَذَابُ,The torment
420,عِبَادِهِ,worship
421,أَكْثَرُهُمْ,More
422,كُلٌّ,All
423,الْهُدَى,The guidance
424,رَسُولًا,A messenger
425,آيَاتِنَا,Our verses
426,يَعْقِلُونَ,They are reasonable
427,وَإِلَيْهِ,And to him
428,رَحْمَةً,Mercy
429,الْمُؤْمِنُونَ,The believers
430,عَلِيمًا,on what
431,عَظِيمًا,Great
432,أَجْرًا,A wage
433,الْقُرْآنَ,The Quran
434,نَذِيرٌ,Nadir
435,يَشْعُرُونَ,they feel
436,تَكُونُوا,Be
437,وَالْيَوْمِ,And today
438,عِنْدِ,when
439,النَّارُ,fire
440,بِالْآخِرَةِ,The hereafter
441,جَاءَكُمْ,You came
442,رَسُولٌ,messenger
443,مِمَّنْ,of whom
444,الرَّحْمَنُ,merciful
445,مَنِ,From
446,آيَاتِ,Verses
447,الْمَلَائِكَةُ,Angels
448,مُسَمًّى,Name
449,أَهْلَ,Ahl
450,وَكَفَى,Enough
451,عَسَى,Ask
452,اتَّخَذُوا,Take
453,كَذَّبَ,to lie
454,خَلَقْنَا,We created
455,يُنْفِقُونَ,They spend
456,مَثَلًا,for example
457,عَدُوٌّ,enemy
458,تَعْبُدُونَ,You worship
459,مُلْكُ,king
460,السَّبِيلِ,The way
461,تَوَلَّوْا,They took over
462,مُسْتَقِيمٍ,straight
463,شَهِيدًا,Martyr
464,بِالْمَعْرُوفِ,With the well -known
465,سَمِيعٌ,Hearing
466,لَآيَةً,A verse
467,خَيْرُ,Good
468,رَحِيمًا,Merciful
469,غَفُورًا,Forgiving
470,أَنِ,that
471,غَيْرُ,not
472,قَبْلَ,Before
473,أَحَدًا,One
474,أَخَافُ,I fear
475,عَمِلُوا,Do they work
476,نَارًا,Fire
477,تَتَّقُونَ,You fear
478,تُرْجَعُونَ,You are back
479,بَعْدِهِ,After him
480,تَشْكُرُونَ,Thank you
481,آتَيْنَا,We came
482,قَوْلًا,Say
483,يَسْمَعُونَ,They hear
484,الْعَظِيمِ,The great
485,السَّمِيعُ,Hearing
486,الصَّالِحِينَ,The righteous
487,إِلَيْنَا,To us
488,عِنْدَهُ,Has
489,صِرَاطٍ,Spears
490,الشَّيْطَانِ,evil
491,يَنْظُرُونَ,They look
492,قَرْيَةٍ,village
493,رَبَّهُ,His Lord
494,الْغَيْبِ,The unseen
495,تَكُنْ,It is
496,أَنَّمَا,I am
497,ذِي,Dhik
498,تَرَى,See
499,سَلَامٌ,Hello
500,الْمُجْرِمِينَ,The criminals
501,نَشَاءُ,starch
502,نَجْزِي,We are rewarded
503,الْعَرْشِ,The throne
504,فِرْعَوْنُ,pharaoh
505,يُشْرِكُونَ,They share
506,لِلْمُتَّقِينَ,For the righteous
507,قَبْلِكُمْ,Before you
508,أَرَادَ,want
509,الْجَنَّةَ,the Paradise
510,عَلَيْكُمُ,on you
511,أَشَدُّ,The most severe
